"name","college","rank","draft_year","draft_rd","draft_pk","recruit_year","nba_mean_vorp","top","highSchool","coll","draft","rookie","allstar","bad","good","great","highest"
"Aaron Miles","University of Kansas",15,,,,2001,,1,1,0,,,,,,,"college"
"Mo Williams","University of Alabama",16,2003,2,47,2001,0.96,1,1,1,1,1,,,1,,"good"
"T.J. Ford","University of Texas at Austin",17,2003,1,8,2001,1.1,1,1,1,1,1,,,1,,"good"
"Josh Childress","Stanford University",18,2004,1,6,2001,1.92,1,1,1,1,1,,,1,,"good"
"Cedric Bozeman","University of California, Los Angeles",19,,,,2001,,1,1,0,,,,,,,"college"
"Wayne Simien","University of Kansas",20,2005,1,29,2001,,1,1,1,1,1,,,,,"other"
"Rashaad Carruth","University of Southern Mississippi",21,,,,2001,,1,1,0,,,,,,,"college"
"James White","University of Cincinnati",22,2006,2,31,2001,,1,1,1,1,1,,,,,"other"
"Jamal Sampson","University of California",23,2002,2,47,2001,,1,1,1,1,1,,,,,"other"
"John Allen","Seton Hall University",24,,,,2001,,1,1,0,,,,,,,"college"
"Jackie Manuel","University of North Carolina",25,,,,2001,,1,1,0,,,,,,,"college"
"Anthony Richardson","Florida State University",26,,,,2001,,1,1,0,,,,,,,"college"
"JaQuan Hart","Eastern Michigan University",26,,,,2001,,1,1,0,,,,,,,"college"
"Dijon Thompson","University of California, Los Angeles",28,2005,2,54,2001,,1,1,1,1,1,,,,,"other"
"Daniel Ewing","Duke University",29,2005,2,32,2001,,1,1,1,1,1,,,,,"other"
"Alan Anderson","Michigan State University",30,,,,2001,0.25,1,1,0,,,,,,,"college"
"Dennis Latimore","University of Notre Dame",31,,,,2001,,1,1,0,,,,,,,"college"
"Pierre Pierce","University of Iowa",32,,,,2001,,1,1,0,,,,,,,"college"
"Jason Maxiell","University of Cincinnati",32,2005,1,26,2001,0.18,1,1,1,1,1,,,1,,"good"
"Robert Whaley","Walsh University",34,2005,2,51,2001,,1,1,1,1,0,,,,,"rookie"
"Chris Thomas","University of Notre Dame",34,,,,2001,,1,1,0,,,,,,,"college"
"Billy Edelin","Syracuse University",36,,,,2001,,1,1,0,,,,,,,"college"
"Melvin Scott","University of North Carolina",37,,,,2001,,1,1,0,,,,,,,"college"
"Elton Brown","University of Virginia",38,,,,2001,,1,1,0,,,,,,,"college"
"Andre Patterson","University of Tennessee",39,,,,2001,,1,1,0,,,,,,,"college"
"Travis Diener","Marquette University",40,2005,2,38,2001,,1,1,1,1,1,,,,,"other"
"Ben Gordon","University of Connecticut",41,2004,1,3,2001,0.64,1,1,1,1,1,,,1,,"good"
"Dommanic Ingerson","University of San Francisco",42,,,,2001,,1,1,0,,,,,,,"college"
"Julian Sensley","University of Hawaii",42,,,,2001,,1,1,0,,,,,,,"college"
"Brandon Bender","University of Louisville",44,,,,2001,,1,1,0,,,,,,,"college"
"Brandon Fuss-Cheatham","Ohio State University",45,,,,2001,,1,1,0,,,,,,,"college"
"Chuck Hayes","University of Kentucky",46,,,,2001,,1,1,0,,,,,,,"college"
"Earnest Shelton","University of Alabama",47,,,,2001,,1,1,0,,,,,,,"college"
"Charles Frederick","University of Washington",48,,,,2001,,1,1,0,,,,,,,"college"
"Ed Nelson","University of Connecticut",49,,,,2001,,1,1,0,,,,,,,"college"
"Jamaal Levy","Wake Forest University",50,,,,2001,,1,1,0,,,,,,,"college"
"Quemont Greer","DePaul University",50,,,,2001,,1,1,0,,,,,,,"college"
"Keith Jackson","Xavier University",52,,,,2001,,1,1,0,,,,,,,"college"
"Will Bynum","Georgia Institute of Technology",53,,,,2001,,1,1,0,,,,,,,"college"
"Marco Killingsworth","Indiana University",53,,,,2001,,1,1,0,,,,,,,"college"
"Joshua Tinch","University of Louisville",55,,,,2001,,1,1,0,,,,,,,"college"
"Tony Key","",55,,,,2001,,1,0,,,,,,,,"highSchool"
"Chey Christie","Clemson University",55,,,,2001,,1,1,0,,,,,,,"college"
"Najeeb Echols","Illinois State University",58,,,,2001,,1,1,0,,,,,,,"college"
"Dwayne Mitchell","University of Louisiana at Lafayette",59,,,,2001,,1,1,0,,,,,,,"college"
"Levi Watkins","North Carolina State University",60,,,,2001,,1,1,0,,,,,,,"college"
"Matt Sylvester","Ohio State University",61,,,,2001,,1,1,0,,,,,,,"college"
"Roger Powell","University of Illinois at Urbana-Champaign",62,,,,2001,,1,1,0,,,,,,,"college"
"Harvey Thomas","Baylor University",63,,,,2001,,1,1,0,,,,,,,"college"
"Levar Seals","DePaul University",64,,,,2001,,1,1,0,,,,,,,"college"
"Josh Powell","North Carolina State University",65,,,,2001,,1,1,0,,,,,,,"college"
"Marcellus Sommerville","Bradley University",66,,,,2001,,1,1,0,,,,,,,"college"
"Duane John","New Mexico State University",67,,,,2001,,1,1,0,,,,,,,"college"
"Errick Craven","University of Southern California",68,,,,2001,,1,1,0,,,,,,,"college"
"Salim Stoudamire","University of Arizona",69,2005,2,31,2001,,1,1,1,1,1,,,,,"other"
"Rob Little","Stanford University",70,,,,2001,,1,1,0,,,,,,,"college"
"Larry Turner","Tennessee State University",71,,,,2001,,1,1,0,,,,,,,"college"
"Marcus Spears","",72,,,,2001,,1,0,,,,,,,,"highSchool"
"Anthony Vasser","",72,,,,2001,,1,0,,,,,,,,"highSchool"
"Isma'Il Muhammad","Georgia Institute of Technology",74,,,,2001,,1,1,0,,,,,,,"college"
"Marcus Campbell","Mississippi State University",75,,,,2001,,1,1,0,,,,,,,"college"
"Anthony Rice","University of Memphis",76,,,,2001,,1,1,0,,,,,,,"college"
"Winsome Frazier","Mississippi State University",77,,,,2001,,1,1,0,,,,,,,"college"
"Jamaal Williams","University of Washington",78,,,,2001,,1,1,0,,,,,,,"college"
"Craig Forth","Syracuse University",79,,,,2001,,1,1,0,,,,,,,"college"
"Erroll Knight","Gonzaga University",80,,,,2001,,1,1,0,,,,,,,"college"
"Ernest Turner","University of Maine",80,,,,2001,,1,1,0,,,,,,,"college"
"Taurance Johnson","Florida International University",82,,,,2001,,1,1,0,,,,,,,"college"
"Mitchell Baldwin","University of North Carolina at Charlotte",83,,,,2001,,1,1,0,,,,,,,"college"
"Eddie Basden","University of North Carolina at Charlotte",84,,,,2001,,1,1,0,,,,,,,"college"
"Vytas Danelius","Wake Forest University",85,,,,2001,,1,1,0,,,,,,,"college"
"Jermaine Watson","Boston College",86,,,,2001,,1,1,0,,,,,,,"college"
"Channing Frye","University of Arizona",87,2005,1,8,2001,1.16,1,1,1,1,1,,,1,,"good"
"Lawrence Roberts","Mississippi State University",87,2005,2,55,2001,,1,1,1,1,1,,,,,"other"
"Derek Stribling","Tennessee Technological University",89,,,,2001,,1,1,0,,,,,,,"college"
"Mike Jensen","University of Washington",90,,,,2001,,1,1,0,,,,,,,"college"
"Keith Langford","University of Kansas",91,,,,2001,,1,1,0,,,,,,,"college"
"Jason Braxton","Arizona State University",92,,,,2001,,1,1,0,,,,,,,"college"
"Jason Clark","University of Virginia",92,,,,2001,,1,1,0,,,,,,,"college"
"Chris Hernandez","Stanford University",94,,,,2001,,1,1,0,,,,,,,"college"
"Marcus Austin","Villanova University",94,,,,2001,,1,1,0,,,,,,,"college"
"Terry Licorish","",96,,,,2001,,1,0,,,,,,,,"highSchool"
"B.J. Elder","Georgia Institute of Technology",97,,,,2001,,1,1,0,,,,,,,"college"
"Carl Krauser","University of Pittsburgh",98,,,,2001,,1,1,0,,,,,,,"college"
"Emeka Okafor","University of Connecticut",99,2004,1,2,2001,1.04,1,1,1,1,1,,,1,,"good"
"Michael Fey","University of California, Los Angeles",100,,,,2001,,1,1,0,,,,,,,"college"
"Amar'e Stoudemire","",1,2002,1,9,2002,1.84,1,1,2,1,1,,,1,,"good"
"Carmelo Anthony","Syracuse University",2,2003,1,3,2002,1.94,1,1,1,1,1,,,1,,"good"
"Raymond Felton","University of North Carolina",3,2005,1,5,2002,0.95,1,1,1,1,1,,,1,,"good"
"Rashad McCants","University of North Carolina",4,2005,1,14,2002,0.5,1,1,1,1,1,,,1,,"good"
"Chris Bosh","Georgia Institute of Technology",5,2003,1,4,2002,2.12,1,1,1,1,1,,,,1,"great"
"Jason Fraser","Villanova University",5,,,,2002,,1,1,0,,,,,,,"college"
"Paul Davis","Michigan State University",7,2006,2,34,2002,,1,1,1,1,1,,,,,"other"
"Shelden Williams","Duke University",8,2006,1,5,2002,-0.15,1,1,1,1,1,,,1,,"good"
"Sean May","University of North Carolina",9,2005,1,13,2002,,1,1,1,1,1,,,,,"other"
"DeAngelo Collins","",10,,,,2002,,1,0,,,,,,,,"highSchool"
"J.J. Redick","Duke University",11,2006,1,11,2002,1.17,1,1,1,1,1,,,1,,"good"
"Bracey Wright","Indiana University",12,2005,2,47,2002,,1,1,1,1,1,,,,,"other"
"Evan Burns","San Diego State University",13,,,,2002,,1,1,0,,,,,,,"college"
"Shavlik Randolph","Duke University",14,,,,2002,,1,1,0,,,,,,,"college"
"Daniel Horton","University of Michigan",15,,,,2002,,1,1,0,,,,,,,"college"
"Anthony Roberson","University of Florida",16,,,,2002,,1,1,0,,,,,,,"college"
"Chris Rodgers","University of Arizona",17,,,,2002,,1,1,0,,,,,,,"college"
"Antoine Wright","Texas A&M University",18,2005,1,15,2002,0.1,1,1,1,1,1,,,1,,"good"
"Dee Brown","University of Illinois at Urbana-Champaign",19,2006,2,46,2002,,1,1,1,1,1,,,,,"other"
"Hassan Adams","University of Arizona",20,2006,2,54,2002,,1,1,1,1,1,,,,,"other"
"Sean Dockery","Duke University",21,,,,2002,,1,1,0,,,,,,,"college"
"Brad Buckman","University of Texas at Austin",22,,,,2002,,1,1,0,,,,,,,"college"
"Sani Ibrahim","",23,,,,2002,,1,0,,,,,,,,"highSchool"
"Rashad Anderson","University of Connecticut",24,,,,2002,,1,1,0,,,,,,,"college"
"Lenny Cooke","",25,,,,2002,,1,0,,,,,,,,"highSchool"
"Bryan Hopkins","Southern Methodist University",25,,,,2002,,1,1,0,,,,,,,"college"
"Andre Iguodala","University of Arizona",27,2004,1,9,2002,3.14,1,1,1,1,1,,,,1,"great"
"Elijah Ingram","New Mexico State University",28,,,,2002,,1,1,0,,,,,,,"college"
"Travis Garrison","University of Maryland",29,,,,2002,,1,1,0,,,,,,,"college"
"Michael Thompson","Duke University",30,,,,2002,,1,1,0,,,,,,,"college"
"Kelenna Azubuike","University of Kentucky",31,,,,2002,0.5,1,1,0,,,,,,,"college"
"Kevin Bookout","University of Oklahoma",31,,,,2002,,1,1,0,,,,,,,"college"
"Kennedy Winston","University of Alabama",33,,,,2002,,1,1,0,,,,,,,"college"
"Denham Brown","University of Connecticut",34,2006,,,2002,,1,1,1,0,,,,,,"draft"
"Jimmy McKinney","University of Missouri",35,,,,2002,,1,1,0,,,,,,,"college"
"Eric Williams","Wake Forest University",36,,,,2002,,1,1,0,,,,,,,"college"
"Torin Francis","University of Notre Dame",37,,,,2002,,1,1,0,,,,,,,"college"
"Gerry McNamara","Syracuse University",38,,,,2002,,1,1,0,,,,,,,"college"
"Allan Ray","Villanova University",39,,,,2002,,1,1,0,,,,,,,"college"
"Matt Walsh","University of Florida",40,,,,2002,,1,1,0,,,,,,,"college"
"Alexander Johnson","Florida State University",41,2006,2,45,2002,,1,1,1,1,1,,,,,"other"
"Curtis Sumpter","Villanova University",42,,,,2002,,1,1,0,,,,,,,"college"
"John Gilchrist","University of Maryland",43,,,,2002,,1,1,0,,,,,,,"college"
"Antonio Lawrence","San Jose State University",44,,,,2002,,1,1,0,,,,,,,"college"
"Brandon Roy","University of Washington",45,2006,1,6,2002,3.85,1,1,1,1,1,,,,1,"great"
"Jarrett Jack","Georgia Institute of Technology",46,2005,1,22,2002,0.45,1,1,1,1,1,,,1,,"good"
"De'Angelo Alexander","University of North Carolina at Charlotte",47,,,,2002,,1,1,0,,,,,,,"college"
"Deron Williams","University of Illinois at Urbana-Champaign",48,2005,1,3,2002,1.98,1,1,1,1,1,,,1,,"good"
"Lester Abram","University of Michigan",49,,,,2002,,1,1,0,,,,,,,"college"
"Greg Brunner","University of Iowa",50,,,,2002,,1,1,0,,,,,,,"college"
"Ike Diogu","Arizona State University",51,2005,1,9,2002,,1,1,1,1,1,,,,,"other"
"Matt Trannon","Michigan State University",52,,,,2002,,1,1,0,,,,,,,"college"
"Mario Boggan","Oklahoma State University",53,,,,2002,,1,1,0,,,,,,,"college"
"Maurice Ager","Michigan State University",54,2006,1,28,2002,,1,1,1,1,1,,,,,"other"
"Eric Hicks","University of Cincinnati",55,,,,2002,,1,1,0,,,,,,,"college"
"Randy Foye","Villanova University",56,2006,1,7,2002,0.45,1,1,1,1,1,,,1,,"good"
"Steve Novak","Marquette University",57,2006,2,32,2002,0.8,1,1,1,1,1,,,1,,"good"
"Derrick Byars","Vanderbilt University",58,2007,2,42,2002,,1,1,1,1,0,,,,,"rookie"
"Jeff Horner","University of Iowa",59,,,,2002,,1,1,0,,,,,,,"college"
"Chris McCray","University of Maryland",60,,,,2002,,1,1,0,,,,,,,"college"
"Justin Gray","Wake Forest University",61,,,,2002,,1,1,0,,,,,,,"college"
"Marshall Strickland","Indiana University",62,,,,2002,,1,1,0,,,,,,,"college"
"Julius Lamptey","",62,,,,2002,,1,0,,,,,,,,"highSchool"
"Robert Hite","University of Miami",64,,,,2002,,1,1,0,,,,,,,"college"
"Taquan Dean","University of Louisville",65,,,,2002,,1,1,0,,,,,,,"college"
"Keith Butler","Temple University",66,,,,2002,,1,1,0,,,,,,,"college"
"Curtis Withers","University of North Carolina at Charlotte",67,,,,2002,,1,1,0,,,,,,,"college"
"J.R. Morris","Seton Hall University",68,,,,2002,,1,1,0,,,,,,,"college"
"Rick Billings","Oakland University",69,,,,2002,,1,1,0,,,,,,,"college"
"Chadd Moore","University of Cincinnati",70,,,,2002,,1,1,0,,,,,,,"college"
"Francisco Garcia","University of Louisville",71,2005,1,23,2002,1.15,1,1,1,1,1,,,1,,"good"
"Jeremy Hunt","University of Memphis",72,,,,2002,,1,1,0,,,,,,,"college"
"Matt Haryasz","Stanford University",73,,,,2002,,1,1,0,,,,,,,"college"
"Adam Haluska","University of Iowa",74,2007,,,2002,,1,1,1,0,,,,,,"draft"
"Aliou Kane","Texas Christian University",75,,,,2002,,1,1,0,,,,,,,"college"
"Chris Quinn","University of Notre Dame",75,,,,2002,,1,1,0,,,,,,,"college"
"Yusuf Baker","University of South Florida",75,,,,2002,,1,1,0,,,,,,,"college"
"James Augustine","University of Illinois at Urbana-Champaign",78,2006,2,41,2002,,1,1,1,1,1,,,,,"other"
"Chuck Davis","University of Alabama",79,,,,2002,,1,1,0,,,,,,,"college"
"Greg Brown","Missouri State University",80,,,,2002,,1,1,0,,,,,,,"college"
"Marcus White","Purdue University",81,,,,2002,,1,1,0,,,,,,,"college"
"Trent Strickland","Wake Forest University",82,,,,2002,,1,1,0,,,,,,,"college"
"Vincent Grier","University of Minnesota",83,,,,2002,,1,1,0,,,,,,,"college"
"Almamy Thiero","Duquesne University",84,,,,2002,,1,1,0,,,,,,,"college"
"Cameron Bennerman","North Carolina State University",84,,,,2002,,1,1,0,,,,,,,"college"
"Aaron Spears","St. John's University",86,,,,2002,,1,1,0,,,,,,,"college"
"C.J. Watson","University of Tennessee",86,,,,2002,0.77,1,1,0,,,,,,,"college"
"Josh Rhodes","",88,,,,2002,,1,0,,,,,,,,"highSchool"
"Marquise Kately","Morgan State University",89,,,,2002,,1,1,0,,,,,,,"college"
"Boo Wade","University of Wisconsin",90,,,,2002,,1,1,0,,,,,,,"college"
"Matt Kiefer","Purdue University",91,,,,2002,,1,1,0,,,,,,,"college"
"Mario Moore","Vanderbilt University",91,,,,2002,,1,1,0,,,,,,,"college"
"Kevin Young","University of Missouri",93,,,,2002,,1,1,0,,,,,,,"college"
"Gary Ervin","Mississippi State University",94,,,,2002,,1,1,0,,,,,,,"college"
"Dedrick Finn","Xavier University",95,,,,2002,,1,1,0,,,,,,,"college"
"Nik Caner-Medley","University of Maryland",95,,,,2002,,1,1,0,,,,,,,"college"
"Bobby Jones","University of Washington",97,2006,2,37,2002,,1,1,1,1,1,,,,,"other"
"Wes Wilkinson","University of Nebraska",98,,,,2002,,1,1,0,,,,,,,"college"
"Tyler Smith","DePaul University",98,,,,2002,,1,1,0,,,,,,,"college"
"John Winchester","Quinnipiac University",100,,,,2002,,1,1,0,,,,,,,"college"
"LeBron James","",1,2003,1,1,2003,8.33,1,1,2,1,1,1,,,,"allstar"
"Luol Deng","Duke University",2,2004,1,7,2003,1.87,1,1,1,1,1,,,1,,"good"
"Shannon Brown","Michigan State University",3,2006,1,25,2003,0.2,1,1,1,1,1,,,1,,"good"
"Ndudi Ebi","",4,2003,1,26,2003,,1,1,2,1,1,,,,,"other"
"Kendrick Perkins","",5,2003,1,27,2003,1.28,1,1,2,1,1,,,1,,"good"
"Chris Paul","Wake Forest University",6,2005,1,4,2003,5.84,1,1,1,1,1,1,,,,"allstar"
"David Padgett","University of Louisville",7,,,,2003,,1,1,0,,,,,,,"college"
"Brian Butch","University of Wisconsin",7,,,,2003,,1,1,0,,,,,,,"college"
"Leon Powe","University of California",9,2006,2,49,2003,,1,1,1,1,1,,,,,"other"
"Kris Humphries","University of Minnesota",10,2004,1,14,2003,1,1,1,1,1,1,,,1,,"good"
"Von Wafer","Florida State University",11,2005,2,39,2003,,1,1,1,1,1,,,,,"other"
"Brandon Bass","Louisiana State University",12,2005,2,33,2003,0.43,1,1,1,1,1,,,1,,"good"
"Olu Famutimi","University of Arkansas",13,,,,2003,,1,1,0,,,,,,,"college"
"Travis Outlaw","",14,2003,1,23,2003,0.1,1,1,2,1,1,,,1,,"good"
"J.R. Giddens","University of New Mexico",14,2008,1,30,2003,,1,1,1,1,1,,,,,"other"
"Linas Kleiza","University of Missouri",14,2005,1,27,2003,0.35,1,1,1,1,1,,,1,,"good"
"Mike Jones","University of Maryland",17,,,,2003,,1,1,0,,,,,,,"college"
"Charlie Villanueva","University of Connecticut",18,2005,1,7,2003,0.26,1,1,1,1,1,,,1,,"good"
"Trevor Ariza","University of California, Los Angeles",19,2004,2,43,2003,2.41,1,1,1,1,1,,,,1,"great"
"James Lang","",20,2003,2,48,2003,,1,1,2,1,0,,,,,"rookie"
"Drew Lavender","Xavier University",21,,,,2003,,1,1,0,,,,,,,"college"
"Dion Harris","University of Michigan",22,,,,2003,,1,1,0,,,,,,,"college"
"Brandon Cotton","University of Detroit Mercy",23,,,,2003,,1,1,0,,,,,,,"college"
"Regis Koundjia","George Washington University",24,,,,2003,,1,1,0,,,,,,,"college"
"Mustafa Shakur","University of Arizona",25,,,,2003,,1,1,0,,,,,,,"college"
"Ivan Harris","Ohio State University",26,,,,2003,,1,1,0,,,,,,,"college"
"Ekene Ibekwe","University of Maryland",27,,,,2003,,1,1,0,,,,,,,"college"
"Rich McBride","University of Illinois at Urbana-Champaign",28,,,,2003,,1,1,0,,,,,,,"college"
"Chris Taft","University of Pittsburgh",29,2005,2,42,2003,,1,1,1,1,0,,,,,"rookie"
"Jackie Butler","",30,,,,2003,,1,0,,,,,,,,"highSchool"
"Demetris Nichols","Syracuse University",31,2007,2,53,2003,,1,1,1,1,1,,,,,"other"
"Aaron Brooks","University of Oregon",32,2007,1,26,2003,0.62,1,1,1,1,1,,,1,,"good"
"Sean Banks","University of Memphis",33,,,,2003,,1,1,0,,,,,,,"college"
"Darryl Watkins","Syracuse University",34,,,,2003,,1,1,0,,,,,,,"college"
"Ayinde Ubaka","University of California",35,,,,2003,,1,1,0,,,,,,,"college"
"Rodrick Stewart","University of Kansas",36,,,,2003,,1,1,0,,,,,,,"college"
"Tack Minor","Louisiana State University",37,,,,2003,,1,1,0,,,,,,,"college"
"Thomas Gardner","University of Missouri",38,,,,2003,,1,1,0,,,,,,,"college"
"Ronnie Brewer","University of Arkansas",39,2006,1,14,2003,2.04,1,1,1,1,1,,,,1,"great"
"Gary Forbes","University of Massachusetts Amherst",39,,,,2003,,1,1,0,,,,,,,"college"
"Marcus Williams","University of Connecticut",41,2006,1,22,2003,,1,1,1,1,1,,,,,"other"
"Terrence Roberts","Syracuse University",42,,,,2003,,1,1,0,,,,,,,"college"
"Chris Richard","University of Florida",43,2007,2,41,2003,,1,1,1,1,1,,,,,"other"
"Martin Iti","New Mexico State University",44,,,,2003,,1,1,0,,,,,,,"college"
"Will Sheridan","Villanova University",45,,,,2003,,1,1,0,,,,,,,"college"
"Mohamed Abukar","San Diego State University",46,,,,2003,,1,1,0,,,,,,,"college"
"Brandon Jenkins","University of Louisville",47,,,,2003,,1,1,0,,,,,,,"college"
"Shagari Alleyne","University of Kentucky",48,,,,2003,,1,1,0,,,,,,,"college"
"Alexander Johnson","Florida State University",49,2006,2,45,2003,,1,1,1,1,1,,,,,"other"
"Gary Ervin","Mississippi State University",50,,,,2003,,1,1,0,,,,,,,"college"
"Drew Naymick","Michigan State University",51,,,,2003,,1,1,0,,,,,,,"college"
"Courtney Sims","University of Michigan",52,,,,2003,,1,1,0,,,,,,,"college"
"Brian Randle","University of Illinois at Urbana-Champaign",53,,,,2003,,1,1,0,,,,,,,"college"
"Cartier Martin","Kansas State University",54,,,,2003,,1,1,0,,,,,,,"college"
"Omar Wilkes","University of California",55,,,,2003,,1,1,0,,,,,,,"college"
"Lodrick Stewart","University of Southern California",56,,,,2003,,1,1,0,,,,,,,"college"
"Brandon Foust","Southeast Missouri State University",57,,,,2003,,1,1,0,,,,,,,"college"
"Corey Gibbs","University of Georgia",58,,,,2003,,1,1,0,,,,,,,"college"
"Major Wingate","University of Tennessee",59,,,,2003,,1,1,0,,,,,,,"college"
"Reyshawn Terry","University of North Carolina",60,2007,,,2003,,1,1,1,0,,,,,,"draft"
"J.R. Reynolds","University of Virginia",61,,,,2003,,1,1,0,,,,,,,"college"
"Brent Petway","University of Michigan",62,,,,2003,,1,1,0,,,,,,,"college"
"Art Bowers","University of Massachusetts Amherst",63,,,,2003,,1,1,0,,,,,,,"college"
"Dorell Wright","",64,2004,1,19,2003,1.73,1,1,1,1,1,,,1,,"good"
"Mike Nardi","Villanova University",65,,,,2003,,1,1,0,,,,,,,"college"
"Paul Millsap","Louisiana Tech University",66,2006,2,47,2003,3.17,1,1,1,1,1,,,,1,"great"
"Jeremy Ingram","East Carolina University",67,,,,2003,,1,1,0,,,,,,,"college"
"Jermareo Davidson","University of Alabama",68,2007,2,36,2003,,1,1,1,1,1,,,,,"other"
"Guillermo Diaz","University of Miami",68,2006,2,52,2003,,1,1,1,1,0,,,,,"rookie"
"Dwight Brewington","Liberty University",70,,,,2003,,1,1,0,,,,,,,"college"
"Dameon Mason","Louisiana State University",71,,,,2003,,1,1,0,,,,,,,"college"
"Kenny Harris","Valparaiso University",72,,,,2003,,1,1,0,,,,,,,"college"
"Wesley Green","DePaul University",73,,,,2003,,1,1,0,,,,,,,"college"
"Darian Townes","University of Arkansas",74,,,,2003,,1,1,0,,,,,,,"college"
"Lorrenzo Wade","San Diego State University",75,,,,2003,,1,1,0,,,,,,,"college"
"Dez Willingham","Southern Methodist University",76,,,,2003,,1,1,0,,,,,,,"college"
"Hassan Fofana","Loyola College in Maryland",77,,,,2003,,1,1,0,,,,,,,"college"
"Marquise Kately","Morgan State University",78,,,,2003,,1,1,0,,,,,,,"college"
"P.J. Tucker","University of Texas at Austin",79,2006,2,35,2003,1.65,1,1,1,1,1,,,1,,"good"
"Vincent Banks","",80,,,,2003,,1,0,,,,,,,,"highSchool"
"Renaldo Balkman","University of South Carolina",80,2006,1,20,2003,,1,1,1,1,1,,,,,"other"
"Wesley Washington","Oregon State University",82,,,,2003,,1,1,0,,,,,,,"college"
"Tim Morris","University of Washington",83,,,,2003,,1,1,0,,,,,,,"college"
"Sammy Mejia","DePaul University",84,2007,,,2003,,1,1,1,0,,,,,,"draft"
"Lawrence McKenzie","University of Minnesota",85,,,,2003,,1,1,0,,,,,,,"college"
"Matt Causey","Georgia Institute of Technology",86,,,,2003,,1,1,0,,,,,,,"college"
"Keith Wooden","University of North Texas",87,,,,2003,,1,1,0,,,,,,,"college"
"Brandon Wallace","University of South Carolina",88,,,,2003,,1,1,0,,,,,,,"college"
"Omari Isreal","Loyola College in Maryland",89,,,,2003,,1,1,0,,,,,,,"college"
"Gerald Brown","Providence College",90,,,,2003,,1,1,0,,,,,,,"college"
"Ryan Appleby","University of Washington",90,,,,2003,,1,1,0,,,,,,,"college"
"Daon Merritt","University of South Alabama",92,,,,2003,,1,1,0,,,,,,,"college"
"Devon Evertsen","Boston College",93,,,,2003,,1,1,0,,,,,,,"college"
"Will Blalock","Iowa State University",94,2006,2,60,2003,,1,1,1,1,0,,,,,"rookie"
"Josh Boone","University of Connecticut",95,2006,1,23,2003,0.3,1,1,1,1,1,,,1,,"good"
"Sylvester Mayes","Ohio State University",96,,,,2003,,1,1,0,,,,,,,"college"
"Patrick Ewing","Georgetown University",97,2008,2,43,2003,,1,1,1,1,0,,,,,"rookie"
"Karron Clarke","DePaul University",98,,,,2003,,1,1,0,,,,,,,"college"
"Shawn Taylor","California State University, Fresno",99,,,,2003,,1,1,0,,,,,,,"college"
"Longar Longar","University of Oklahoma",100,,,,2003,,1,1,0,,,,,,,"college"
"Dwight Howard","",1,2004,1,1,2004,3.06,1,1,2,1,1,,,,1,"great"
"Shaun Livingston","",2,2004,1,4,2004,0.6,1,1,2,1,1,,,1,,"good"
"Al Jefferson","",3,2004,1,15,2004,1.7,1,1,2,1,1,,,1,,"good"
"Josh Smith","",4,2004,1,17,2004,2.71,1,1,2,1,1,,,,1,"great"
"Rudy Gay","University of Connecticut",5,2006,1,8,2004,1.61,1,1,1,1,1,,,1,,"good"
"Sebastian Telfair","",6,2004,1,13,2004,-0.78,1,1,2,1,1,,1,,,"bad"
"Marvin Williams","University of North Carolina",7,2005,1,2,2004,0.9,1,1,1,1,1,,,1,,"good"
"Robert Swift","",8,2004,1,12,2004,,1,1,2,1,1,,,,,"other"
"Malik Hairston","University of Oregon",9,2008,2,48,2004,,1,1,1,1,1,,,,,"other"
"Randolph Morris","University of Kentucky",10,,,,2004,,1,1,0,,,,,,,"college"
"Glen Davis","Louisiana State University",11,2007,2,35,2004,-0.08,1,1,1,1,1,,,1,,"good"
"LaMarcus Aldridge","University of Texas at Austin",12,2006,1,2,2004,2.3,1,1,1,1,1,,,,1,"great"
"D.J. White","Indiana University",13,2008,1,29,2004,,1,1,1,1,1,,,,,"other"
"Joe Crawford","University of Kentucky",14,2008,2,58,2004,,1,1,1,1,0,,,,,"rookie"
"Darius Washington","University of Memphis",15,,,,2004,,1,1,0,,,,,,,"college"
"Juan Palacios","University of Louisville",16,,,,2004,,1,1,0,,,,,,,"college"
"Jawann McClellan","University of Arizona",17,,,,2004,,1,1,0,,,,,,,"college"
"DeMarcus Nelson","Duke University",18,,,,2004,,1,1,0,,,,,,,"college"
"Daniel Gibson","University of Texas at Austin",19,2006,2,42,2004,0.67,1,1,1,1,1,,,1,,"good"
"Jordan Farmar","University of California, Los Angeles",20,2006,1,26,2004,0.85,1,1,1,1,1,,,1,,"good"
"Rajon Rondo","University of Kentucky",21,2006,1,21,2004,2.05,1,1,1,1,1,,,,1,"great"
"Mike Williams","University of Cincinnati",22,,,,2004,,1,1,0,,,,,,,"college"
"J.R. Smith","",23,2004,1,18,2004,1.26,1,1,2,1,1,,,1,,"good"
"A.J. Price","University of Connecticut",24,2009,2,52,2004,,1,1,1,1,1,,,,,"other"
"Corey Brewer","University of Florida",25,2007,1,7,2004,0.54,1,1,1,1,1,,,1,,"good"
"Arron Afflalo","University of California, Los Angeles",26,2007,1,27,2004,0.65,1,1,1,1,1,,,1,,"good"
"Jason Rich","Florida State University",27,,,,2004,,1,1,0,,,,,,,"college"
"Marquise Gray","Michigan State University",28,,,,2004,,1,1,0,,,,,,,"college"
